Accident Number,Date and Time,Number of Motor Vehicles,Number of Injuries,Number of Fatalities,Property Damage,Hit and Run,Reporting Officer,Collision Type Code,Collision Type Description,Weather Code,Weather Description,Illumination Code,Illumination Description,Harmful Code,Harmful Code Description,Street Address,City,State,ZIP,RPA,Precinct,Latitude,Longitude,Mapped Location
20190038972,01/15/2019 07:40:00 PM,2,0,0,,N,256374,4,ANGLE,21,CLEAR,3,DARK - LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,BELL RD & CEDAR POINTE PKWY,ANTIOCH,TN,37013,8753,SOUTH,36.0449,-86.6671,POINT (-86.6671 36.0449)
20190045402,01/17/2019 11:09:00 PM,2,0,0,,Y,405424,11,Front to Rear,2,RAIN,3,DARK - LIGHTED,14,PARKED MOTOR VEHICLE,3248 PERCY PRIEST DR,NASHVILLE,TN,37214,8955,HERMIT,36.1531,-86.6291,POINT (-86.6291 36.1531)
20190051468,01/20/2019 12:57:00 PM,2,0,0,,N,834798,6,SIDESWIPE - OPPOSITE DIRECTION,21,CLEAR,1,DAYLIGHT,14,PARKED MOTOR VEHICLE,700 THOMPSON LN,NASHVILLE,TN,37204,8305,MIDTOW,36.1122,-86.7625,POINT (-86.7625 36.1122)
20190088097,02/02/2019 12:38:00 AM,2,0,0,,Y,660929,4,ANGLE,21,CLEAR,2,DARK - NOT LIGHTED,12;14,MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE,400 RADNO,NASHVILLE,TN,,,,36.0483,-86.4369,POINT (-86.4369 36.0483)
20190091289,02/03/2019 01:25:00 PM,2,0,0,,N,212369,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,ELLINGTON AG CENTER PVTDR & EDMONDSON PK,NASHVILLE,TN,37220,8615,MIDTOW,36.0618,-86.7405,POINT (-86.7405 36.0618)
20190096838,02/05/2019 12:30:00 PM,2,0,0,,N,267831,98,OTHER,22,CLOUDY,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,HILLSBORO PKE & SHARONDALE DR,NASHVILLE,TN,,6001,WEST,,,
20190178821,03/06/2019 05:38:00 PM,2,0,0,,N,151132,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,FREDA VILLA & S GRAYCROFT AV,MADISON,TN,37115,1799,MADISO,36.2465,-86.7355,POINT (-86.7355 36.2465)
20190214314,03/19/2019 05:12:00 PM,3,0,0,,N,134871,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 49 4 I 24,NASHVILLE,TN,37206,10040,EAST,36.1613,-86.7604,POINT (-86.7604 36.1613)
20190235478,03/26/2019 07:13:00 PM,2,0,0,,Y,330428,11,Front to Rear,21,CLEAR,3,DARK - LIGHTED,12,MOTOR VEHICLE IN TRANSPORT,CHARLOTTE AV & 46TH AVN,NASHVILLE,TN,37209,5203,WEST,36.1522,-86.8422,POINT (-86.8422 36.1522)
20190243032,03/29/2019 07:39:00 AM,2,0,0,,N,110063,98,OTHER,2,RAIN,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 86 2 I 65,NASHVILLE,TN,37207,1910,CENTRA,36.1919,-86.7812,POINT (-86.7812 36.1919)
20190312621,04/23/2019 10:55:00 AM,2,0,0,,N,226622,4,ANGLE,22,CLOUDY,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 1 1 I 440,NASHVILLE,TN,37205,5234,WEST,36.1447,-86.8224,POINT (-86.8224 36.1447)
20190338460,05/02/2019 05:09:00 PM,2,0,0,,N,320585,11,Front to Rear,21,CLEAR,,,12,MOTOR VEHICLE IN TRANSPORT,MM 211 9 I 40,NASHVILLE,TN,37210,90022,HERMIT,36.1487,-86.7459,POINT (-86.7459 36.1487)
20190346686,05/06/2019 08:15:00 AM,2,1,0,Y,N,320601,4,ANGLE,21,CLEAR,1,DAYLIGHT,1;12,MOTOR VEHICLE IN TRANSPORT,WHEELER AV & FLORAL DR,NASHVILLE,TN,37211,8435,SOUTH,36.0956,-86.7345,POINT (-86.7345 36.0956)
20190376007,05/16/2019 06:37:00 PM,2,0,0,,Y,352189,4,ANGLE,21,CLEAR,1,DAYLIGHT,14,PARKED MOTOR VEHICLE,2900 E TRINITY LN,NASHVILLE,TN,37216,1851,EAST,36.2032,-86.7397,POINT (-86.7397 36.2032)
20190423225,06/03/2019 03:36:00 PM,2,0,0,,N,169425,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 1 5 I 440,NASHVILLE,TN,37209,5232,WEST,36.1508,-86.8228,POINT (-86.8228 36.1508)
20190460073,06/17/2019 04:20:00 PM,2,0,0,,N,279225,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MOSSDALE DR & BELL RD,NASHVILLE,TN,37217,8937,HERMIT,36.0828,-86.6287,POINT (-86.6287 36.0828)
20190521589,07/12/2019 05:45:00 AM,2,0,0,,N,192379,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 87 0 I 65,NASHVILLE,TN,37207,18020,EAST,36.2018,-86.7766,POINT (-86.7766 36.2018)
20190537481,07/18/2019 02:51:00 PM,4,0,0,,N,716886,11,Front to Rear,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,MM 1 6 I 440,NASHVILLE,TN,37209,5230,WEST,36.1531,-86.8228,POINT (-86.8228 36.1531)
20190540298,07/19/2019 04:30:00 PM,2,0,0,,Y,299238,4,ANGLE,21,CLEAR,1,DAYLIGHT,12,MOTOR VEHICLE IN TRANSPORT,S 6TH ST & WOODLAND ST,NASHVILLE,TN,37206,1117,EAST,36.1726,-86.7628,POINT (-86.7628 36.1726)
